Network Name,vlan_id,Subnet,mx_ip,relay
Gordon Lab,1,10.184.194.0/24,10.184.194.1,
Gordon Lab,3,172.21.194.0/24,172.21.194.1,
SDWAN Multi Domain Lab,1,10.191.22.0/24,10.191.22.1,
SDWAN Multi Domain Lab,3,10.192.22.0/24,10.192.22.1,
Test Standard Store,10,10.0.87.152/29,10.0.87.153,
Test Standard Store,12,10.0.87.0/25,10.0.87.1,
Test Standard Store,13,10.0.87.144/29,10.0.87.145,
Test Standard Store,14,10.0.87.136/30,10.0.87.137,
Test Standard Store,16,10.0.87.160/28,10.0.87.161,
Test Standard Store,40,10.0.87.224/27,10.0.87.225,
Test Standard Store,60,10.0.87.176/28,10.0.87.177,
Test Standard Store,200,10.0.87.196/30,10.0.87.197,
